순번,업종명,업소명,지번주소,도로명주소,행정동명,전화번호,데이터기준일자
40,제과점영업,크리스피크림 대전둔산점,대전광역시 서구 둔산동 1416 1층 ,"대전광역시 서구 둔산중로 46, 1층 (둔산동)",둔산1동,,2024-10-25
41,제과점영업,파리바게트대전로데오점,대전광역시 서구 탄방동 749 1층 ,"대전광역시 서구 문정로 80 (탄방동,1층)",탄방동,,2024-10-25
42,제과점영업,앤티앤스,대전광역시 서구 둔산동 1036 갤러리아타임월드백화점 ,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부 (둔산동)",둔산2동,02  -587 -0955,2024-10-25
43,제과점영업,하레하레과자점,대전광역시 서구 둔산동 1036 지하2층 ,"대전광역시 서구 대덕대로 211 (둔산동,지하2층)",둔산2동,,2024-10-25
44,제과점영업,뚜레쥬르관저점,대전광역시 서구 관저동 1541 ,"대전광역시 서구 구봉로 137, 1층 106호 (관저동)",관저2동,,2024-10-25
45,제과점영업,뚜레쥬르대전둔산법원점,대전광역시 서구 둔산동 1391 (1층) 103호,"대전광역시 서구 둔산로137번길 44, 103호 (둔산동,(1층))",둔산2동,,2024-10-25
46,제과점영업,자연드림둔산점,대전광역시 서구 탄방동 735 COOP생협한밭센터 ,"대전광역시 서구 문예로 7, COOP생협한밭센터 1층 일부 (탄방동)",탄방동,,2024-10-25
47,제과점영업,파리바게뜨롯데점1,대전광역시 서구 괴정동 423-4 (오렌지빌딩130호) ,"대전광역시 서구 계룡로 616 (괴정동,(오렌지빌딩130호))",괴정동,   042 - 524-6408,2024-10-25
48,제과점영업,파리바게뜨 관저원앙점,대전광역시 서구 관저동 1834 ,"대전광역시 서구 관저북로51번길 8-16, 1층 (관저동, 1층일부)",관저1동,,2024-10-25
49,제과점영업,장호덕손만두 탄방점,대전광역시 서구 탄방동 833 (1층) ,"대전광역시 서구 문정로 110-1 (탄방동,(1층))",탄방동,042 -487 -7778,2024-10-25
50,제과점영업,뚜레쥬르(대전복수목화점),대전광역시 서구 복수동 274-1 (제비상가 114호) ,"대전광역시 서구 복수중로 38 (복수동,(제비상가 114호))",복수동,,2024-10-25
51,제과점영업,파리바게뜨대전갈마동산점,대전광역시 서구 갈마동 351-1 (1층) ,"대전광역시 서구 갈마중로 16 (갈마동,(1층))",갈마1동,,2024-10-25
52,제과점영업,빵나라,대전광역시 서구 도마동 144-11 (1층) ,대전광역시 서구 도산로 70 (도마동),도마1동,,2024-10-25
53,제과점영업,한터,대전광역시 서구 장안동 513-1 1층 ,"대전광역시 서구 삼보실길 123, 1층 (장안동)",기성동,042 -586 -3341,2024-10-25
54,제과점영업,뚜레쥬르둔산샘머리점(2),대전광역시 서구 둔산동 908 (110호) ,"대전광역시 서구 청사로 281 (둔산동,(110호))",둔산1동,,2024-10-25
55,제과점영업,월드빵천국,대전광역시 서구 월평동 222 (한아름@상가108호) ,"대전광역시 서구 청사서로 65 (월평동,(한아름@상가108호))",월평1동,,2024-10-25
56,제과점영업,떡미당,대전광역시 서구 탄방동 1023 (1층) ,"대전광역시 서구 문정로 130 (탄방동,(1층))",탄방동,,2024-10-25
57,제과점영업,따삐오베이커리,대전광역시 서구 도마동 14-4 (2층) ,"대전광역시 서구 배재로 206, 2층 (도마동)",도마1동,,2024-10-25
58,제과점영업,뚜레쥬르대전롯데점,대전광역시 서구 탄방동 81-12 (1층) ,"대전광역시 서구 계룡로 633, 1층 (탄방동)",탄방동,,2024-10-25
59,제과점영업,파리바게뜨 대전괴정점,대전광역시 서구 괴정동 7-1 (1층) ,"대전광역시 서구 계룡로 546 (괴정동,(1층))",괴정동,,2024-10-25
60,제과점영업,뚜레쥬르탄방역점,대전광역시 서구 탄방동 701 (1층 101호) ,"대전광역시 서구 문정로 64 (탄방동,(1층 101호))",탄방동, 042 - 483-0606,2024-10-25
61,제과점영업,파리바게뜨도안수목토점,대전광역시 서구 도안동 1364 16블럭 (수목토@상가108호) ,"대전광역시 서구 도안동로 177, 108호 (도안동)",도안동,,2024-10-25
62,제과점영업,파리바게뜨 만년KBS점,대전광역시 서구 만년동 298 1층 ,"대전광역시 서구 대덕대로 402 (만년동,1층)",만년동,,2024-10-25
63,제과점영업,파리바게뜨만년점2,대전광역시 서구 만년동 1-2 (B6호) ,"대전광역시 서구 만년로 25 (만년동,(B6호))",만년동,,2024-10-25
64,제과점영업,학화호두과자,대전광역시 서구 둔산동 967 (1층 157호) ,"대전광역시 서구 둔산북로 22 (둔산동,(1층 157호))",둔산2동,,2024-10-25
65,제과점영업,메가엠지씨커피 대전 정림점,대전광역시 서구 정림동 590 1층 ,"대전광역시 서구 정림로 56-1, 1층 (정림동)",정림동,,2024-10-25
66,제과점영업,쿠킹하임,대전광역시 서구 관저동 1523 1층 ,"대전광역시 서구 구봉로 111, 1층 (관저동)",관저2동,,2024-10-25
67,제과점영업,성심당 롯데대전점2,대전광역시 서구 괴정동 423-1 롯데백화점 ,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)",괴정동,,2024-10-25
68,제과점영업,파리바게트도안목원대점,대전광역시 서구 도안동 880 104~105호,"대전광역시 서구 도안북로 107, 104~105호 (도안동)",도안동,042 -526 -0435,2024-10-25
69,제과점영업,뚜레쥬르수목토점,대전광역시 서구 도안동 1251 1층 ,"대전광역시 서구 원도안로179번길 7-7, 1층 (도안동)",도안동,,2024-10-25
70,제과점영업,뚜레쥬르 대전월평계룡점,대전광역시 서구 월평동 915 ,"대전광역시 서구 월평로 46, 1층 (월평동)",월평1동,,2024-10-25
71,제과점영업,이봉구케익과자점,대전광역시 서구 복수동 486 ,"대전광역시 서구 복수동로 48, 1층 (복수동)",복수동,,2024-10-25
72,제과점영업,뚜레쥬르둔산사학점(2),대전광역시 서구 둔산동 929 1층 ,"대전광역시 서구 한밭대로 809, 1층 (둔산동, 사학연금대전둔산회관)",둔산2동,,2024-10-25
73,제과점영업,빠띠시아,대전광역시 서구 도안동 1103 1층 ,"대전광역시 서구 원도안로224번길 25, 1층 (도안동)",도안동,,2024-10-25
74,제과점영업,인유단베이커리,대전광역시 서구 만년동 293 화성빌딩1층 ,"대전광역시 서구 대덕대로 394, 1층 (만년동)",만년동,,2024-10-25
75,제과점영업,파리바게뜨 황실점3,대전광역시 서구 월평동 302 황실타운 ,"대전광역시 서구 청사로 65, 1층 143,144호 (월평동, 황실타운)",월평3동,,2024-10-25
76,제과점영업,주식회사 캘리포니아베이커리카페,대전광역시 서구 둔산동 1422 호텔 디 에디션 ,"대전광역시 서구 둔산남로91번길 13, 호텔 디 에디션 1,2층 (둔산동)",둔산2동,,2024-10-25
77,제과점영업,파리바게뜨도안우미린점,대전광역시 서구 도안동 1618 명성빌 ,"대전광역시 서구 원도안로 42, 명성빌 1층 (도안동)",도안동,,2024-10-25
78,제과점영업,성심당 롯데대전점4,대전광역시 서구 괴정동 423-1 롯데백화점 ,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)",괴정동,,2024-10-25
79,제과점영업,브레드마마 도안점,대전광역시 서구 도안동 902 ,"대전광역시 서구 도안북로117번길 17, 1층 (도안동)",도안동,,2024-10-25
80,제과점영업,뚜레쥬르 대전도안목원대점,대전광역시 서구 도안동 963 ,"대전광역시 서구 도안북로 116, 1층 (도안동)",도안동,,2024-10-25
81,제과점영업,뚜레쥬르 샘머리점(2),대전광역시 서구 둔산동 908 ,"대전광역시 서구 청사로 281, 1층 114호 (둔산동)",둔산1동,,2024-10-25
82,제과점영업,케이쿠,대전광역시 서구 관저동 1542 ,"대전광역시 서구 구봉로 133, 1층 104호 (관저동)",관저1동,,2024-10-25
83,제과점영업,뚜레쥬르 관저원앙점,대전광역시 서구 관저동 981 ,"대전광역시 서구 관저북로 71, 1층 107,108호 (관저동)",관저1동,,2024-10-25
84,제과점영업,빵굽는집,대전광역시 서구 탄방동 836 ,"대전광역시 서구 문정로 112 (탄방동, 1층일부)",탄방동,,2024-10-25
85,제과점영업,정인구팥빵,대전광역시 서구 도안동 1776 ,"대전광역시 서구 도안동로11번길 57, 109호 (도안동)",도안동,,2024-10-25
86,제과점영업,하레하레베이커리카페,대전광역시 서구 도안동 1640 ,"대전광역시 서구 원도안로26번길 13, 1층 일부호 (도안동)",도안동,,2024-10-25
87,제과점영업,하레하레과자점,대전광역시 서구 도안동 1640 ,"대전광역시 서구 원도안로26번길 13, 지하1층 (도안동)",도안동,,2024-10-25
88,제과점영업,우리동네빵집,대전광역시 서구 관저동 1109 ,"대전광역시 서구 관저중로95번길 105, 104호 (관저동)",관저2동,,2024-10-25
89,제과점영업,싶빵공장,대전광역시 서구 도안동 1764 ,"대전광역시 서구 도안동로11번길 42, 1층 107호 (도안동)",도안동,,2024-10-25
90,제과점영업,꽃뭉치앙금플라워,대전광역시 서구 탄방동 1206 ,"대전광역시 서구 문정로150번길 17-16, 1(일부)층 (탄방동)",탄방동,,2024-10-25
91,제과점영업,파리바게뜨 둔산타임월드점,대전광역시 서구 둔산동 1071 소레드빌딩 ,"대전광역시 서구 둔산로 26, 소레드빌딩 1층 102호 (둔산동)",둔산2동,042 -471 -7888,2024-10-25
92,제과점영업,베이크오프,대전광역시 서구 관저동 1384 ,"대전광역시 서구 관저동로 37-8, 1층 (관저동)",관저1동,,2024-10-25
93,제과점영업,바이러브하니,대전광역시 서구 둔산동 1036 갤러리아타임월드백화점 ,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 11층 일부 (둔산동)",둔산2동,,2024-10-25
94,제과점영업,DALCOMI(달코미),대전광역시 서구 관저동 1020 ,"대전광역시 서구 관저중로 86-1, 1층 일부호 (관저동)",관저2동,,2024-10-25
95,제과점영업,트레이더스베이커리 월평점2,대전광역시 서구 월평동 510 신세계이마트 ,"대전광역시 서구 한밭대로 580, 신세계이마트 지하1층 (월평동)",월평1동,,2024-10-25
96,제과점영업,싶빵공장 둔산월평점,대전광역시 서구 월평동 282-2 청사로프라자 ,"대전광역시 서구 청사로 130, 청사로프라자 1층 105호 (월평동)",월평1동,,2024-10-25
97,제과점영업,스윗 클라우드9,대전광역시 서구 변동 80-8 ,"대전광역시 서구 배재로232번길 18, 1층 일부호 (변동)",변동,,2024-10-25
98,제과점영업,파리바게뜨 관저포스코점,대전광역시 서구 관저동 1952-5 ,"대전광역시 서구 관저로 23, 1층 101~103호 (관저동)",관저2동,,2024-10-25
99,제과점영업,주식회사 에스피씨삼립 빚은대전월평점,대전광역시 서구 월평동 246 ,"대전광역시 서구 월평북로 90, 홈플러스익스프레스대전월평점 1층 (월평동)",월평2동,02  -2276-5284,2024-10-25
100,제과점영업,하레하레과자점2,대전광역시 서구 둔산동 1036 갤러리아타임월드백화점 ,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부 (둔산동)",둔산2동,,2024-10-25
101,제과점영업,파리바게뜨 복수자이점,대전광역시 서구 복수동 277-48 복수센트럴자이 ,"대전광역시 서구 복수서로 15, 106,107호 (복수동, 복수센트럴자이)",복수동,,2024-10-25
102,제과점영업,복남이네빵집,대전광역시 서구 도안동 866 105호,"대전광역시 서구 도안북로93번길 20-17, 1층 105호 (도안동)",도안동,,2024-10-25
103,제과점영업,북촌35,대전광역시 서구 관저동 1778 승암빌딩 ,"대전광역시 서구 관저북로13번길 23-24, 승암빌딩 1층 일부호 (관저동)",관저1동,,2024-10-25
104,제과점영업,슈가나인케이크(Sugar Nine Cake),대전광역시 서구 도안동 868 덕성펠리체Ⅰ ,"대전광역시 서구 도안북로93번길 20-23, 덕성펠리체Ⅰ 1층 101호 (도안동)",도안동,,2024-10-25
105,제과점영업,베이크샵 다이브,대전광역시 서구 도안동 882 ,"대전광역시 서구 도안북로117번길 74, 1층 (일부)호 (도안동)",도안동,,2024-10-25
106,제과점영업,성심당 롯데대전점3,대전광역시 서구 괴정동 423-1 롯데백화점 ,"대전광역시 서구 계룡로 598, 롯데백화점 1층 일부 (괴정동)",괴정동, 042- 220-4146,2024-10-25
107,제과점영업,about Romantic(어바웃로맨틱),대전광역시 서구 탄방동 601 ,"대전광역시 서구 문정로 26, 1층 104호 (탄방동)",탄방동,,2024-10-25
108,제과점영업,케잌판다,대전광역시 서구 관저동 1519 마치3 ,"대전광역시 서구 구봉로131번길 37, 마치3 1층 111호 (관저동)",관저2동,,2024-10-25
109,제과점영업,땡스투케이크,대전광역시 서구 갈마동 972 ,"대전광역시 서구 갈마중로 33-9, 1층 일부호 (갈마동)",갈마2동,,2024-10-25
110,제과점영업,손수베이커리,대전광역시 서구 관저동 1394 느리울마을아파트13단지 ,"대전광역시 서구 관저동로 42, 주상가동 1층 104호 (관저동, 느리울마을아파트13단지)",관저2동,,2024-10-25
111,제과점영업,코리아팥빵,대전광역시 서구 둔산동 1429 ,"대전광역시 서구 둔산남로 99, 1층 101호 (둔산동)",둔산1동,,2024-10-25
112,제과점영업,뚜레쥬르 관저더샵점,대전광역시 서구 관저동 1989-1 비젼9 ,"대전광역시 서구 관저로14번길 40, 비젼9 1층 106,107,108호 (관저동)",관저2동,,2024-10-25
113,제과점영업,앙금엉금케이크,대전광역시 서구 도안동 1083 ,"대전광역시 서구 원도안로224번길 47-34, 101호 (도안동)",도안동,,2024-10-25
114,제과점영업,INCEPT(인셉트),대전광역시 서구 갈마동 266-88 ,"대전광역시 서구 갈마역로25번길 67, 1층 일부호 (갈마동)",갈마1동,,2024-10-25
115,제과점영업,케익이피다,대전광역시 서구 둔산동 1805 가람아파트 ,"대전광역시 서구 둔산북로 215, 상가동 지하001(일부)호 (둔산동, 가람아파트)",둔산3동,,2024-10-25
116,제과점영업,단풍꽈배기,대전광역시 서구 월평동 501 필안채 ,"대전광역시 서구 한밭대로570번길 40-13, 필안채 1층 일부호 (월평동)",월평1동,,2024-10-25
117,제과점영업,은가비,대전광역시 서구 괴정동 89-11 ,"대전광역시 서구 갈마로245번길 30, 1층 일부호 (괴정동)",괴정동,,2024-10-25
