순번,업종명,업소명,지번주소,도로명주소,행정동명,전화번호,데이터기준일자
156,제과점영업,은이까까,대전광역시 서구 월평동 474 ,"대전광역시 서구 월평로33번길 24, 1층 일부호 (월평동)",월평1동,,2024-10-25
157,제과점영업,베이커리 아키텐,대전광역시 서구 탄방동 707 나비家 아르누보팰리스 ,"대전광역시 서구 둔산중로 20, 나비家 아르누보팰리스 1층 115호 (탄방동)",탄방동,042 -488 -1426,2024-10-25
158,제과점영업,현미당,대전광역시 서구 관저동 1415 관저빌딩 ,"대전광역시 서구 관저동로 88, 관저빌딩 1층 104호 (관저동)",관저2동,,2024-10-25
159,제과점영업,앤크(anc),대전광역시 서구 월평동 294 ,"대전광역시 서구 청사서로 14, 1층 일부호 (월평동)",월평2동,,2024-10-25
160,제과점영업,피브완,대전광역시 서구 둔산동 1453 대덕프라자 ,"대전광역시 서구 둔산로 130, 대덕프라자 1층 110호 (둔산동)",둔산1동,,2024-10-25
161,제과점영업,소올투베이커리,대전광역시 서구 둔산동 983 ,"대전광역시 서구 둔지로 32, 1,2층 (둔산동)",둔산2동,,2024-10-25
162,제과점영업,다람당,대전광역시 서구 둔산동 1358 ,"대전광역시 서구 둔산로51번길 30, 1층 108호 (둔산동)",둔산2동,,2024-10-25
163,제과점영업,몽글베이커리,대전광역시 서구 도안동 1783 좋은빌딩 ,"대전광역시 서구 계백로 1145, 좋은빌딩 1층 107호 (도안동)",도안동,,2024-10-25
164,제과점영업,라블랑제,대전광역시 서구 도안동 1123 ,"대전광역시 서구 원도안로224번안길 3, 1층 일부호 (도안동)",도안동,,2024-10-25
165,제과점영업,브라보베이커리,대전광역시 서구 용문동 280-19 ,"대전광역시 서구 괴정로181번길 22, 1층 일부호 (용문동)",용문동,,2024-10-25
166,제과점영업,모구모구과자점 인 대전,대전광역시 서구 도안동 845 에프엠프라임4차빌딩 ,"대전광역시 서구 도안북로93번길 11, 에프엠프라임4차빌딩 1층 108호 (도안동)",도안동,,2024-10-25
167,제과점영업,작은빵집 토포(Topo),대전광역시 서구 도안동 1233 ,"대전광역시 서구 원도안로 207, 1층 일부호 (도안동)",도안동,,2024-10-25
168,제과점영업,서촌,대전광역시 서구 둔산동 1352 둔산의아침 ,"대전광역시 서구 대덕대로242번길 15, 둔산의아침 지하1층 B01(일부)호 (둔산동)",둔산2동,,2024-10-25
169,제과점영업,정인구 팥빵,대전광역시 서구 용문동 255-1 ,"대전광역시 서구 계룡로 670-1, 1층 (용문동)",용문동,,2024-10-25
170,제과점영업,뚜레쥬르 대전서구만년점,대전광역시 서구 만년동 281-1 꿈나무유치원 ,"대전광역시 서구 만년남로 10, 1,2층 (만년동)",만년동,,2024-10-25
171,제과점영업,라니네 제과점,대전광역시 서구 도안동 1031 ,"대전광역시 서구 원도안로241번길 14-28, 1층 (도안동)",도안동,,2024-10-25
172,제과점영업,당당커피,대전광역시 서구 갈마동 269-29 ,"대전광역시 서구 갈마역로25번길 49, 1층 일부호 (갈마동)",갈마2동,,2024-10-25
173,제과점영업,플로우브레드,대전광역시 서구 갈마동 427-8 초승고원 ,"대전광역시 서구 신갈마로 75-4, 초승고원 1층 일부호 (갈마동)",갈마1동,,2024-10-25
174,제과점영업,홍월당,대전광역시 서구 도마동 124-7 ,"대전광역시 서구 사마7길 12, 1층 (도마동)",도마2동,,2024-10-25
175,제과점영업,케익부띠끄 롯데점,대전광역시 서구 괴정동 423-1 롯데백화점 ,"대전광역시 서구 계룡로 598, 롯데백화점 지하1층 일부호 (괴정동)",괴정동,042 -220 -4177,2024-10-25
176,제과점영업,곳간집,대전광역시 서구 갈마동 304-12 ,"대전광역시 서구 신갈마로209번길 43, 1층 (갈마동)",갈마1동,,2024-10-25
177,제과점영업,뚜레쥬르 대전관저센터점,대전광역시 서구 관저동 1837 ,"대전광역시 서구 관저북로 53, 1층 일부호 (관저동)",관저1동,,2024-10-25
178,제과점영업,소공원치즈케이크,대전광역시 서구 갈마동 268-1 골든타워 ,"대전광역시 서구 계룡로407번길 77, 골든타워 1층 (갈마동)",갈마1동,,2024-10-25
179,제과점영업,달달빵집,대전광역시 서구 관저동 1754 월드상가 ,"대전광역시 서구 관저북로 25, 월드상가 1층 102호 (관저동)",관저1동,,2024-10-25
180,제과점영업,쿠피,대전광역시 서구 도안동 1017 ,"대전광역시 서구 원도안로241번길 14-31, 1층 (도안동)",도안동,,2024-10-25
181,제과점영업,썸원(someone),대전광역시 서구 괴정동 82-27 ,"대전광역시 서구 도솔로328번길 45, 1층 (괴정동)",괴정동,,2024-10-25
182,제과점영업,(주)캘리포니아베이커리팩토리,대전광역시 서구 둔산동 1415 ,"대전광역시 서구 둔산중로46번길 10, 5층 일부호 (둔산동)",둔산1동,042 -488 -8871,2024-10-25
183,제과점영업,페이머스,대전광역시 서구 탄방동 974 ,"대전광역시 서구 문정로112번안길 39, 1층 (탄방동)",탄방동,,2024-10-25
184,제과점영업,빠스츄리,대전광역시 서구 도안동 892 ,"대전광역시 서구 도안북로117번길 61, 1층 일부호 (도안동)",도안동,,2024-10-25
185,제과점영업,리코리시 케이크,대전광역시 서구 월평동 952 ,"대전광역시 서구 월평중로3번길 44, 1층 일부호 (월평동)",월평1동,,2024-10-25
186,제과점영업,파리바게뜨 대전시청점,대전광역시 서구 둔산동 1488 ,"대전광역시 서구 둔산남로105번길 34, 1층 일부호 (둔산동)",둔산1동,,2024-10-25
187,제과점영업,호밀호두 대전월평점,대전광역시 서구 월평동 266-1 샛별아파트 ,"대전광역시 서구 청사서로 29, 1층 121 일부호 (월평동, 샛별아파트)",월평3동,,2024-10-25
188,제과점영업,호밀호두 대전월평점2,대전광역시 서구 월평동 266-1 샛별아파트 ,"대전광역시 서구 청사서로 29, 1층 103호 (월평동, 샛별아파트)",월평2동,,2024-10-25
189,제과점영업,손수베이커리,대전광역시 서구 변동 30-1 ,"대전광역시 서구 도산로 203, 2층 일부호 (변동)",변동,,2024-10-25
190,제과점영업,별빛담아,대전광역시 서구 갈마동 366-22 ,"대전광역시 서구 계룡로354번길 113, 1층 (갈마동)",갈마1동,,2024-10-25
191,제과점영업,롤라리틀베이커리,대전광역시 서구 둔산동 1186 ,"대전광역시 서구 둔산남로9번길 85, 1층 (둔산동)",둔산2동,,2024-10-25
192,제과점영업,오븐브라더스,대전광역시 서구 둔산동 1036 갤러리아타임월드백화점 ,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부호 (둔산동)",둔산2동,,2024-10-25
193,제과점영업,명지제과,대전광역시 서구 정림동 200-5 ,"대전광역시 서구 정림로24번길 30, 1층 (정림동)",정림동,,2024-10-25
194,제과점영업,태리정원,대전광역시 서구 월평동 30-1 파트너타운 ,"대전광역시 서구 계룡로264번길 38-5, 파트너타운 1층 일부호 (월평동)",월평1동,,2024-10-25
195,제과점영업,동그리 앤 원플러스,대전광역시 서구 둔산동 997 ,"대전광역시 서구 둔산로31번길 61, 지하1층 일부호 (둔산동)",둔산2동,,2024-10-25
196,제과점영업,소공원치즈케이크,대전광역시 서구 둔산동 1036 갤러리아타임월드백화점 ,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부호 (둔산동)",둔산2동,,2024-10-25
