subject,summary,press,wdate,link
"""1위인데 삼성 씁쓸하네""…대기업 시총 '지각변동'",삼성그룹이 지난해 국내 대기업그룹 시가총액 1위를 지켰지만 시총 규모는 크게 쪼그라들어 5년 만에 최소 수준에 그쳤다. 삼성전자 반도체.. 한국경제TV | 2025-01-29 07:34:40,한국경제TV,2025-01-29 07:34:40,https://n.news.naver.com/mnews/article/215/0001196734
잇단 ADC 바이오벤처 기술성평가 낙방...들쭉날쭉 고무줄 기준 논란,“축구에서 오심도 경기의 일환이라고 하는 것처럼 결과에 승복해야 하는 것 아니겠나.” “올림픽 종목들이 하는 것처럼 평가기관 수를 늘려.. 이데일리 | 2025-01-29 07:31:09,이데일리,2025-01-29 07:31:09,https://n.news.naver.com/mnews/article/018/0005933082
‘K바이오사이언스·포스코DX’ 등 12종목...내달 ‘MSCI한국지수’서 빠진다,2월 28일 대규모 종목 리밸런싱 전망…변동성 주의보 다음 달 진행될 모건스탠리캐피털인터내셔널(MSCI) 정기 리뷰에서 최대 12개 종.. 문화일보 | 2025-01-29 07:18:12,문화일보,2025-01-29 07:18:12,https://n.news.naver.com/mnews/article/021/0002686709
2차전지 잘 나갈때 좋았는데…1년 만에 주가 반토막 난 주식 [윤현주의 主食이 주식],2만8619원(2024년 2월 23일 고가)→1만4300원. 2차전지 업황 악화로 1년 만에 주가가 반토막 났다. 29일 코스닥 시가총.. 한국경제 | 2025-01-29 07:01:16,한국경제,2025-01-29 07:01:16,https://n.news.naver.com/mnews/article/015/0005087375
새해 불확실성 대비하는 증권업계...고객 중심·ESG 경영 ‘잰걸음’,새해 국내 증권사들이 대내외 불확실성이 커진 가운데 고객 중심 영업 및 환경·사회·지배구조(ESG) 경영 실천을 보여주기 위해 힘쓰고 .. 데일리안 | 2025-01-29 07:00:22,데일리안,2025-01-29 07:00:22,https://n.news.naver.com/mnews/article/119/0002918212
'딥시크 쇼크'에 저가 매수 붙어… 나스닥 2%↑ [데일리국제금융시장],전날 ‘딥시크 쇼크’로 급락했던 기술주가 상승하며 28일(현지 시간) 뉴욕 증시에서 3대 지수가 강세를 보였다. 전날 3%대 급락했던 .. 서울경제 | 2025-01-29 06:59:09,서울경제,2025-01-29 06:59:09,https://n.news.naver.com/mnews/article/011/0004444766
"뉴욕증시, 딥시크 경계 속 일단 저가 매수…나스닥 2%↑ 마감",진정호 연합인포맥스 특파원 = 뉴욕증시에서 3대 주가지수가 동반 강세를 보였다. 전날 3% 폭락했던 나스닥종합지수는 2% 급반등했다. .. 연합뉴스 | 2025-01-29 06:53:40,연합뉴스,2025-01-29 06:53:40,https://n.news.naver.com/mnews/article/001/0015182938
'딥시크 쇼크' 하루 만에 진정...엔비디아 '반등',중국 인공지능(AI) 스타트업 딥시크(DeepSeek)가 저비용 AI 모델을 내놓자 격동하던 미국 증시는 28일(현지시간) 다소 진정된.. 한국경제TV | 2025-01-29 06:53:39,한국경제TV,2025-01-29 06:53:39,https://n.news.naver.com/mnews/article/215/0001196731
"""가성비는 좋네"" 中 딥시크에 오픈AI 경영자 신경전… 머스크 ""글쎄""",미국의 인공지능(AI) 선두 주자 오픈AI의 창업자가 중국 스타트업 딥시크(DeepSeek)를 견제하는 듯한 발언을 내놔 이목을 끌었다.. 머니S | 2025-01-29 06:49:00,머니S,2025-01-29 06:49:00,https://n.news.naver.com/mnews/article/417/0001054676
나스닥 2%·엔비디아 8.9%↑…‘딥시크 쇼크’서 일부 회복[월스트리트in],중국의 인공지능(AI) 딥시크(DeepSeek) 등장으로 급락했던 뉴욕증시가 하루 만에 일부 회복에 성공했다. 하지만 딥시크 여파가 구.. 이데일리 | 2025-01-29 06:39:09,이데일리,2025-01-29 06:39:09,https://n.news.naver.com/mnews/article/018/0005933074
‘일반인 연애’ 지겹다지만 검증된 성공 공식…‘500억 대작 참패’ CJ ENM 주가 반등도? [투자360],환승연애 [티빙 방송 화면 캡처] CJ ENM 주가가 ‘52주 신저가’ 수준을 향해 끝없는 하강 곡선을 그리고 있다. 최근 제작비 50.. 헤럴드경제 | 2025-01-29 06:31:09,헤럴드경제,2025-01-29 06:31:09,https://n.news.naver.com/mnews/article/016/0002421555
'딥시크 충격' 일부 회복…저가매수세에 엔비디아 9% 반등[뉴욕마감],미국 뉴욕증시 3대 지수가 28일(현지시간) 일제히 상승 마감했다. 중국의 인공지능(AI) 스타트업 딥시크 충격으로 급락세를 보인 지 .. 머니투데이 | 2025-01-29 06:28:32,머니투데이,2025-01-29 06:28:32,https://n.news.naver.com/mnews/article/008/0005146617
[속보]'딥시크 쇼크'서 일부 회복…나스닥 2%·엔비디아 8.9%↑,중국의 인공지능(AI) 딥시크(DeepSeek) 등장으로 급락했던 뉴욕증시가 하루 만에 어느 정도 회복에 성공했다. 27일(현지시간) .. 이데일리 | 2025-01-29 06:08:13,이데일리,2025-01-29 06:08:13,https://n.news.naver.com/mnews/article/018/0005933073
[인터뷰] 존재감 약하다 평가받던 카카오페이증권… 두달만에 연금 10만계좌 유치 비결,카카오페이증권 연금저축팀 임슬빛 매니저 인터뷰 간결성 중요… 투자자 니즈 판단 후 투자 방법 안내 5초 만에 연금저축 계좌 개설… 쉽고.. 조선비즈 | 2025-01-29 06:01:10,조선비즈,2025-01-29 06:01:10,https://n.news.naver.com/mnews/article/366/0001050128
수익률 1%p 올리면 기금 고갈 6년 늦춘다… 해외 ‘틈새 부동산’ 노리는 국민연금,1185조원(2024년 11월 말 기준)의 기금 운용을 책임지는 국민연금 기금운용본부가 기금 고갈 시기를 늦추기 위한 무기로 ‘해외 틈.. 조선비즈 | 2025-01-29 06:01:08,조선비즈,2025-01-29 06:01:08,https://n.news.naver.com/mnews/article/366/0001050127
"""삼전·카카오서 갈아타고 500% 수익""…세뱃돈 재테크도 달라졌다","#고1 아들과 재수생 딸을 둔 조모 씨는 2년 전부터 자녀의 미래를 위해 미국 주식에 투자하는 게 낫다고 판단, 자녀 주식계좌에서 한국.. 머니투데이 | 2025-01-29 06:00:00",머니투데이,2025-01-29 06:00:00,https://n.news.naver.com/mnews/article/008/0005146612
"""명절 세뱃돈 받았는데""… 펀드 ETF 투자해볼까",설 명절을 맞아 상여금이나 자녀가 받은 용돈·세뱃돈 등을 투자해 장기간 묻어둘만한 펀드와 ETF(상장지수펀드)에 관심이 쏠린다. 자산운.. 머니S | 2025-01-29 05:44:00,머니S,2025-01-29 05:44:00,https://n.news.naver.com/mnews/article/417/0001054672
"뉴욕증시, 베센트號 출범·FOMC 개회·M7 실적대기…반등 출발",김 현 연합인포맥스 통신원 = 뉴욕증시는 중국 인공지능(AI) 스타트업 '딥시크'가 촉발한 기술주 폭락세를 딛고 반등 출발했다. '딥시.. 연합뉴스 | 2025-01-29 01:01:31,연합뉴스,2025-01-29 01:01:31,https://n.news.naver.com/mnews/article/001/0015182852
"증권사, 을사년 마케팅 전략은 '미성년 서학개미'",명절 韓증시 '6일 휴장'에 해외 주식 투자자 겨냥 미성년자 가입 가능한 ELB 상품 출시도 증권사들은 명절 때마다 서학개미 잡기에 주.. 더팩트 | 2025-01-29 00:01:20,더팩트,2025-01-29 00:01:20,https://n.news.naver.com/mnews/article/629/0000360212
